english	mongolian	note	source_page
Argand diagram	Аргандын диаграмм	a+bi тоог (a,b) цэг болгон дүрсэлсэн зураг	34
argumentum	баталгаа	Латин үг	34
Aristotelian	Арестотелийн	Номд ийнхүү хэвлэгдсэн; доор нь Аристотелийн гэж бичсэн	34
armithmetic series	арифметик цуваа (арифметикийн прогрессээс зохиосон цуваа)	printed 'armithmetic' (= arithmetic)	35
arrangement of n elements taken m at a time	n элементээс нэг, нэгээр авсан m элементийн байрлал, n элементээс авсан (сонгосон) m элементийн байрлал, n элементийн m элементэй гүйлгэмэл	combinatorics: arrangements of m out of n	36
arrow	сум	vector/segment arrow	36
artificial exersize	зохиомол (нүсэр төвөгтэй) дасгал	printed spelling; = artificial exercise	37
Artistotle	Аристотель (МЭӨ 384-322 он)	printed 'Artistotle' (= Aristotle)	34
as soon as	-нгуут	verbal suffix	38
ASA rule	гурвалжны тэнцүүгийн өнцөг тал өнцгийн (ӨТӨ) шинжийн дүрэм, ӨТӨ шинж	angle-side-angle triangle congruence	38
Assume that the statement is true for n=k.	n=k үед нотломжоо үнэн гэж үзье	induction	39
Assume the contrary.	Эсрэгийг нь биелнэ гэж үзье	proof by contradiction	39
assumption (1) leads to a conradiction	(1) эсрэг дүгнэлт нь зөрчилд хүргэлээ	printed "conradiction" for contradiction	39
at	-аар (-ээр), -д (-т), -дахь, -аас (-ээс)	зарим үед орчуулахгүй - sometimes left untranslated	40
atomic proposition	дан хэллэг, энгийн хэллэг	logic	41
attack	бодолт, бодох арга, бодож эхлэх	of a problem	41
augend	эхний нэмэгдэхүүн	first addend in an addition	41
automaton	автомат	plural: automata	41
awkward	нүсэр (илэрхийлэл)	of an expression	42
b	мэдэгдэж байгаа тоо, хэмжигдэхүүний тэмдэглэл	symbol for a known number or quantity	42
back	ар, ар тал, урвуу, урвуу чигпэл, өмнө, буцах, эргэн үзэх, ахин авч үзэх, дэмжих	чигпэл as printed; read чиглэл	42
barrel	торх, торхонд хийх (шингэнийг), баррел (шингэн хэмжих нэгж)	1 баррел = 163,65 л (Англид), 119 л (Америкт)	43
common difference	ялгавар	Арифметик прогрессийн дараалсан хоёр гишүүний ялгавар	35
dijital arithmetic	тооны арифметикийн үйлдэл	Номд dijital гэж хэвлэгдсэн	35
division algorithm	үлдэгдэлтэй хуваахын теорем	a = b·q + r, 0 <= r < b	24
law of absorption	шингээлтийн хууль	set theory: A ∪ (A∩B) = A	15
Liar's antinomy	худалчийн зөрчил	paradox үгийн орчуулгад бий	30
look back at the definintion of a polynomial	Олон гишүүнтийн тодорхойлолтыг эргэж хар	printed "definintion" for definition	42
negation bar	үгүйсгэлийн тэмдэг (зураас)	logic: overbar for NOT	43
particular affirmative	тухайн нотолсон нотломж (бодомж)	logic: particular affirmative proposition	22
sides of the angle	өнцгийн тал	Өнцгийн цацрагийг тал гэж нэрлэдэг	28
the absolute value of a number	тооны абсолют хэмжигдэхүүн	distance on the number line from the number to 0	15
the grouping does not alter the result	бүлэглэх (хаалтанд хийх) нь үйлдлийн үр дүнг өөрчлөхгүй	associative property	25
the leg adjacent to the acute angle	хурц өнцөгт налсан катет	right triangle	21
the ratio of the measure of the leg adjacent to the acute angle to the measure of the hypotenuse	хурц өнцөгт налсан катетын уртыг гипотенузын уртад харьцуулсан харьцаа	i.e. cosine ratio	21
the size of an angle	өнцгийн хэмжээ	Нэг талыг нөгөө талтай давхацтал эргүүлсэн дүн	28
the vertex of the angle	өнцгийн орой	Цацрагуудын ерөнхий цэг	28
truth assignment	үнэний утгын оноолт	logic	39
two adjacent terms	зэрэгцээ (хөрш) хоёр гишүүн	terms of a sequence/series	21
universal affirmative	ерөнхий нотолсон нотломж (бодомж)	logic: universal affirmative proposition	22
x-coordinate	x координат	in a Cartesian coordinate system; the abscissa	14
y against x	y нь x-ээс хамаарсан функц	plotting y versus x	22
a + sign appears	+ тэмдэг байна		31
a bar graph used to compare quantities	баганан диаграммыг тоон мэдээллийг харьцуулахад ашигладаг		43
a line contains at least two points	шулуун нь дор хаяж хоёр цэг агуулна		41
a posteriori	апостериор, туршилтад тулгуурласан, туршилтад тулгуурласан мэдлэг, туршилтаар олж авсан мэдлэг		31
a priori	туршилтаас үл хамаарсан туршилтын өмнөх мэдлэг		33
a priori distribution	априор магадлал, туршилтын өмнөх магадлал		33
abandon	орхих, хаях, татгалзах		13
abandoned	орхисон		13
ABC	цагаан толгой, үсэглэл, эхлэл, үндэс		13
Abelian	абелийн, байр солих		13
ability	чадвар		13
able	чадвар, чадварлаг, чадвартай		13
aboutness	хөрш, ойр		13
above the average	дундажаас дээгүүр		41
above-mentioned	дээр (өмнө) дурдсан		14
above-said	дээр (өмнө) өгүүлсэн		14
above-stated	өмнө томьёолсон		14
abridged	товчилсон, огтолсон, огтлогдсон		14
absolute	абсолют, туйлын, бүрэн төгс, нөхцөлгүй		14
absolute maxima and minima	абсолют максимум ба минимум		14
absolute maximum and minimum	хамгийн их ба бага утга		15
absolute maximum of f	f(x) функцийн хамгийн их утга, f(x) функцийн үнэмлэхүй их утга		14
absolute minimum of f	f(x) функцийн хамгийн бага утга, f(x) функцийн үнэмлэхүй бага утга		15
absolute value bars	абсолют хэмжигдэхүүний тэмдэг (босоо зураас)		43
absolute value function	абсолют хэмжигдэхүүний функц		15
absolutely	абсолют, бүрэн		14
absorption	шингээлт		15
abstracting	хийсвэрлэн, хийсвэрлэх		15
abstraction	хийсвэр, хийсвэрлэл, хөндийрэл, хийсвэрлэх, хөндийрөх		15
abstraction of identification	адилтгах хийсвэрлэл		16
abstraction of potential realizability	боломжит хэрэгжилтийн хийсвэрлэл		16
absurd	утгагүй		16
absurdity	зөрчил, утгагүй болох (нь), утгагүй нь		16
absurdity of the assumption is obvious	хийсэн таамаглал утгагүй болох нь илэрхий		16
abundant	илүүдэлтэй		16
accelerator	хурдасгагч		16
accent	онцлог ялгаа, ялгах онцлог, зураас (штрих), анхаарал төвлөрүүлэх		16
accented	ялгасан, онцолсон, зураастай, "малгайтай"		16
accept	хүлээн авах, хүлээн зөвшөөрөх, гэж үзэх, нийтээр хүлээн зөвшөөрөх		16
acceptable	тохиромжтой, боломжтой, тохирох, байж болох		16
acceptable assignment	боломжит оноолт		16
acceptable probability	боломжит магадлал		16
accepted	дэвшүүлсэн (хүлээн зөвшөөрсөн), таамаглал, таамагласан, нийтээр хүлээн зөвшөөрсөн, нийтэд тодорхой, нийтийн мэдэх		17
access	боломж, бололцоо, хүрэх, орох		17
accessible	хүрэх, хүртээмжтэй		17
accession	өсөлт, нэмэлт		17
accident	золгүй тохиолдол, санамсаргүй шинж, санамсаргүй үзэгдэл		17
accidental	санамсаргүй, системгүй, эмхгүй		17
accomplish	гүйцэтгэх, боловсронгуй болгох, гүйцээх		17
accomplished	гүйцээсэн, болгосон		17
accomplished as a sum of	нийлбэр болгон гүйцээсэн		17
accord	харгалзаа, тохироо, харгалзах, уялдах		17
accordance	харгалзаа		17
according to the triangle inequality theorem	гурвалжны тэнцэтгэлбишийн теорем ёсоор, гурвалжны тэнцэтгэлбишээр		17
account	тооцоо, нягтлан бодох бүртгэл, тайлан, тооцох, гэж үзэх, анхаарах		17
accretion	өсөлт, өөрчлөлт		17
accumulate	хуримтлах, цуглуулах, төвлөрүүлэх, хуримтлуулах, хуримтлагдах, төвлөрөх		17
accumulation	хуримтлал, цуглах, нийлбэр болгох		17
accumulation of errors	алдаа хуримтлагдах		17
accuracy in the mean	дундажийн нарийвчлал, дундаж утгын нарийвчлал		17
accuracy of approximation	ойролцоо утгын нарийвчлал, ойролцоо илэрхийллийн нарийвчлал		17
accurately	нарийн, яг		17
ace	шооны нэг нүхтэй талс, 1 оноо, оноо авах		18
achieve	хүрэх		18
achievement	ололт, амжилт		18
acknowledge	ухамсарлах, хүлээн зөвшөөрөх, гэж үзэх, нотлох, талархах		18
acolinearity	коллинеарбус болох (нь), нэг шулуун дээр үл орших (нь)		18
acolineary	коллинеарбус, нэг шулуун дээр үл орших		18
acoplanar	компланарбус, нэг хавтгай дээр үл орших		18
acoplanarity	компланарбус болох (нь)		18
acquisition	хүлээн авах, олох		18
across	хөндлөн, хэрээс		18
act	үйл, үйлдэл, үйл явдал, үзэгдэл, хуулийн бичиг (баримт буюу тогтоол), үйлдэх		18
action	үйлдэл, нөлөөлөл, үйл ажиллагаа, төлөв байдал, төлөв байдлын шугам		18
active	идэвхтэй, ажиллаж буй		18
activity	идэвх, ажил, үйлдэл, ажиллагаа		18
actual	бодитой оршин байгаа, бодит, жинхэнэ, баримтат, одоогийн чухал, орчин үеийн чухал		18
actual measurement	бодит хэмжилт		18
actualize	хэрэгжүүлэх		18
actually	үнэндээ, үнэхээр, одоо үед		18
acute-angled triangle	хурц өнцөгт гурвалжин		18
acyclic	үегүй, цикл бус		18
adapt	зохицох		18
adaptation	зохицол, зохицох, гадаад хэл суралцахад зориулан хураангуйлж хялбарчилсан бичиг (текст)		18
add the tens	арвыг нэм, аравтын (арвын) орны цифр нэм		18
addable	нийлбэр авч буй, нэмж буй		19
addendum	нэмэлт, хавсралт		19
adding	нийлбэр, нэмэх, нэмж буй		19
adding fractions	энгийн бутархайг нэмэх		19
adding with decimals	аравтын бутархайг нэмэх		19
addition formulae for sine and cosine	Синус, косинусын нэмэхийн томьёо		19
addition method for systems	тэгшитгэлийн систем бодох нэмэх арга		19
addition of similar terms	төсөөтэй гишүүн эмхэтгэх		19
addition properties	нэмэхийн чанар		19
additional	нэмэлт		19
additional distributive properties	гишүүнчлэн үржүүлэхийн (үржвэрийг нийлбэрээр илэрхийлэхийн) нэмэлт чанар		19
additional topics	нэмэлт сэдэв		19
additionally	нэмж хэлэх (өгүүлэх)		19
additivity	нийлбэр болох (нь), нийлбэр		20
adequacy	хангалттай болох (нь), тохирох (нь), харгалзаа, харилцан хэмжилтэй болох (нь)		20
adequacy of data	мэдээний үнэн болох (нь)		20
adequate	хангалттай, тохиромжтой, шаардлагад тохирсон, харгалзаж байгаа, харгалзах, зохистой, зохистой болох (нь)		20
adjoin	хиллэж (залгаж) орших, хөрш байх		21
adjoined	нэгтгэсэн, холбосон		21
adjunct	гүйцээлт, хавсралт, санамсаргүй онцлог		21
adjunction	холболт, холбох, шилжүүлэх		21
adjunction to scale	масштабт шилжүүлэх		21
adjustment	уялдуулах, дагуу болгох, тоймлох, тооцоо хийх		21
admissibility	боломжтой болох (нь), боломж		21
admissible	боломжит, болох		21
admissible act	боломжит үйлдэл		18
admit	гэж үзэх, хүлээн зөвшөөрөх		21
adopt	хүлээн авах, эзэмших		21
advance	амжилт, ололт, дэвшил, урагшлах, ахих, дэвших, таамаглал дэвшүүлэх		21
advanced	ахиу, дэвшилттэй		21
advanced mathematics	ахиу түвшний математик		21
advancement	таамаглал дэвшүүлэх		21
affect	нөлөөлөх		22
affine	аффин (хувиргалт)		22
affinity	аффин хувиргалт, аффин чанартай болох (нь)		22
affirm	нотлох, батлах		22
affirmative	нотолсон		22
again	бас, дахин		22
against	эсрэг (чиглэл)		22
agenda	бодлого бодох төлөвлөгөө, үндсэн оператор буюу үйлдлийн жагсаалт (хэлхээ)		22
aggregate	цуглуулга, олонлог, бүл, хослол, ерөнхий цогц, үр дүн, цуглуулах, тэнцэх, бүрдүүлэх		22
aggregate of points	цэгийн цуглуулга, цогц цэг		22
aggregation	нэгдэл, нийлүүлэл, бүлэглэл, блок болгох		22
agree	давхцах, харгалзах, харгалзаанд орших		22
agreement	тохиролцоо, уялдаа, хэлцэл, гэрээ, нийцэл, давхцал, нийцэх		22
agreements on domains and ranges	функцийн тодорхойлогдох ба утгын мужийн талаарх тохиролцоо		22
aid	тусламж, дэм, нэмэлт		22
aids	нэмэлт хэрэгсэл, дагалдах хэрэгсэл		22
aim	зорилго, зорилт		22
aleatory	санамсаргүй, тохиолдлоос хамаарсан, шоо хаях үр дүнгээс хамаарсан		22
algebraic addition	алгебрын нэмэх (үйлдэл)		19
algebraic adjunct	алгебр гүйцээлт		21
algebraic fraction	алгебрын бутархай		23
algebraic operations	алгебрын үйлдэл		23
algebraic proof	алгебрын баталгаа		23
algebraically	алгебр үүднээс, алгебрт, алгебр аргаар		24
algorism	аравтын тооллын систем, арав арваар тоолох систем		24
algorithmic	алгоритмийн, дүрэмтэй, алгоритмт		24
algorithmically	алгоритмоор, дүрмээр		24
algorithmization	алгоритмчилах, алгоритмлах, дүрэмлэх		24
align	нэг тоог нөгөө тооны дор харгалзуулан бичих, зэрэгцүүлэн бичих, жагсаан бичих, тэнцүүлэх, нэг шулуун дээр байрлуулах		24
align the decimal points	аравтын бутархайн таслалыг харгалзуулан нэг тоог нөгөө тооны доор нь бич		24
aligned	нэг шулуун дагуу байрласан		24
aliquant	үл хуваагдах, бүхэл хуваагдахгүй		24
aliquot	хуваагдагч, бүхэл тоон удаа агуулагдаж буй		24
all	бүгд, бүх, дурын, бүр		24
all rational numbers	бүх рационал тоо		24
all the sides	бүх тал		24
allineation	нэг шулуун дээр байрлах		25
allocate	байрлах, байрлуулах, хуваарилах, зориулах		25
allocation	байрлал, хуваарилалт, тархалт, ангилал		25
allot	байрлуулах, өгөх (бодлого), шодож хуваарилах		25
allotment	тархалт		25
allow	гэж үзэх, зөв гэж үзэх, хүлээн зөвшөөрөх		25
allowable	боломжтой, тохиромжтой		25
almost	бараг		25
alogism	логикгүй, логикгүй болох (нь)		25
alone	ганц, зөвхөн, онцгойлон		25
along	дагуу, ёсоор		25
along with this definition	энэхүү тодорхойлолт ёсоор		25
alphabetical	үсгийн, үсэгт		25
alter	хувирах, өөрчлөгдөх		25
alteration	өөрчлөлт		25
alteration of form	хэлбэрийн өөрчлөлт, деформац		25
altering	өөрчлөлт		25
alternate	өөр нэг, нэмэлт, ээлжлэх, сөөлжлөх, хувьсах		25
alternate angles	солбисон хоёр өнцөг		29
alternate exterior angles	гадаад солбисон хоёр өнцөг		25
alternately	бас, ээлжлэн		26
alternative	бие биеэ үгүйсгэсэн хоёр боломжоос хийх сонголт, хоёрын нэг, харилцан үгүйсгэсэн хувилбар, бас, нэгэн нэмэлт, хувилбар сонгох		26
altogether	бүрэн, төгс		26
always	ямагт, үргэлж		26
ambiguity	нэг утгагүй, нэг утгагүй болох (нь), тодорхойгүй, хоёрдмол утгатай, хоёрдмол утгатай болох (нь)		26
ambiguous	хоёрдмол утгатай, эргэлзээтэй, тодорхойгүй		26
ambiguous case	хоёрдмол утгатай тохиолдол		26
ambivalence	тодорхойгүй, тодорхойгүй болох (нь)		26
amend	дэлгэрүүлэх, сайжруулах		26
amended	сайжруулсан		26
amicable	нөхөрсөг		26
amount as a numeral	тоогоор бичсэн мөнгөний дүн (тоогоор бичсэн мөнгөний хэмжээ)		27
amount in words	үсгээр бичсэн мөнгөний дүн (хэмжээ)		27
amount of change	өөрчлөлтийн хэмжээ		27
ample	хангалттай, илүүдэлтэй, элбэг		27
ampleness	хангалттай болох (нь)		27
an acute angle	хурц өнцөг		28
an aggregate of units	нэгжийн цуглуулга, нэгүүд, натурал тоо		22
an alternative definition of...	-ийн бас нэгэн тодорхойлолт		26
an altitude of a parallelogram	параллелограммын өндөр		26
an apex of a pyramid	пирамидын орой		31
an arbitrary natural number	дурын натурал тоо		33
an axis of a parabola	параболын тэнхлэг		42
an oblique asymptote	налуу асимптот		40
anagram	анаграм		27
analog	-тэй адил юм, -тэй ижил юм, -тэй төсөөтэй юм, адил төсөөтэй байдал		27
analogical	төсөөд тулгуурласан		27
analogous	төстэй, төсөөтэй		27
analogously	үүнтэй адил, үүнтэй төстэйгээр		27
analogy	төсөө, адил		27
analyse	задлан шинжлэх, задлах, анализ хийх, учрыг олох		27
analyser	задлан шинжилгээ хийдэг багаж		27
analysis of means	дундажийн анализ		28
analyzable	задлан буй, анализ хийж буй		28
analyze	задлан шинжлэх, анализ хийх		28
analyze data	мэдээнд анализ хийх (хий), мэдээг задлан шинжлэх		28
analyze the model	загварыг задлан шинжил		28
analyzing	задлан шинжлэх, анализ хийх		28
analyzing data	мэдээнд анализ хийх		28
ancient	эртний, урдын		28
and so on	гэх мэт		28
angle addition postulate	нийлбэр өнцгийн постулат, өнцөг нэмэх постулат (аксиом)		28
angle at center	төв өнцөг		29
angle at circumference	тойрог дээр оройтой өнцөг		29
angle at vertex	орой дахь өнцөг, оройн өнцөг		29
angle between lines	хоёр шулууны хоорондох өнцөг		29
angle dependent	өнцгөөс хамаарсан		29
angle included between	хоорондох өнцөг		29
angle sum theorem	гурвалжны өнцгийн нийлбэрийн теорем		28
angle-preserving	өнцөг хадгалдаг (хувиргалт)		29
angular	өнцгийн		29
angular measure	өнцгийн хэмжээ		29
annex	нэмэлт, нэмж (залгаж) бичих		29
annexing zeros	нэмж бичсэн тэгүүд		29
annotate	товч танилцуулга хийх		29
annual	жил тутмын, жилийн		29
annual average	жилийн дундаж		41
annual income	жилийн орлого		29
annuity	рент, түрээс		29
annul	устгах		29
another	өөр		30
answer line	хариуны зураас		30
antagonism	зөрчил, эсрэг үзэл (зарчим)		30
antagonistic	зөрчилт		30
antecedent of ratio	харьцааны эхний гишүүн		30
anticlockwise	цагийн зүүний эсрэг, нар буруу		30
antiderivation	эх функц олох (уламжлалын урвуу үйлдэл)		30
antiderivative of f(x)	f(x) функцийн эх функц		30
antidifferentiation	уламжлал авахын урвуу үйлдэл, интеграл авах, уламжлалыг нь мэдсэнээр эх функц олох		30
antiimage	эх дүр		30
antilogarithm	антилогарифм, эх тоо		30
antinomy	зөрчил, парадокс		30
antiparallel	параллелбус, антипараллел		30
antique	эртний, эртний урлагийн бүтээл		30
any	дурын, аливаа, ямар ч		30
any point	дурын цэг		30
any real number	аливаа бодит тоо		30
anyone	хэн нэг (асуух өгүүлбэрт), аливаа, ямар ч (нотолсон өгүүлбэрт), хэн ч (үгүйсгэсэн өгүүлбэрт)		30
apart	хэсгүүд, тус тусдаа, зайтай, бусад		31
apart from	-ийн гадна, -аас бусад, хэрэв ... -ийг хайхрахгүй бол		31
apart from the order of the factors	үржигдэхүүний эрэмбээс бусад		31
aperiodic	үегүй		31
aperiodicity	үегүй, үегүй болох (нь)		31
apex (apices), apexes	орой, оройнууд		31
apexes of the triangle	гурвалжны оройнууд		31
apical	оройн, орой дахь		31
