source,topic,skill_tag,confidence,difficulty,difficulty_tier,needs_review
Test-2021B-Q27,algebra,rational_expression,0.98,1,easy,no
Test-2021B-Q28,arithmetic,word_problem_arithmetic,0.90,1,easy,no
Test-2021B-Q29,geometry,geometric_transformation,0.95,1,easy,no
Test-2021B-Q3,arithmetic,number_representation,0.95,1,easy,no
Test-2021B-Q30,algebra,progression,0.98,1,easy,no
Test-2021B-Q31,vectors,vector_geometry,0.95,1,easy,no
Test-2021B-Q32,calculus,definite_integral,0.98,1,easy,no
Test-2021B-Q33,geometry,triangle_geometry,0.75,1,easy,no
Test-2021B-Q34,geometry,solid_geometry,0.90,1,easy,no
Test-2021B-Q35,geometry,geometric_transformation,0.60,1,easy,yes
Test-2021B-Q36,algebra,quadratic_inequality,0.90,1,easy,no
Test-2021B-Q4,probability,compound_event,0.80,1,easy,no
Test-2021B-Q5,algebra,exponent_rules,0.65,1,easy,yes
Test-2021B-Q6,functions,function_domain_range,0.65,1,easy,yes
Test-2021B-Q7,geometry,coordinate_geometry,0.95,1,easy,no
Test-2021B-Q8,algebra,matrix_operation,0.95,1,easy,no
Test-2021B-Q9,trigonometry,trig_identity,0.90,1,easy,no
Test-2021C-Q1,arithmetic,number_representation,0.98,1,easy,no
Test-2021C-Q10,calculus,derivative_rules,0.95,1,easy,no
Test-2021C-Q11,arithmetic,number_representation,0.95,1,easy,no
Test-2021C-Q12,statistics,dispersion,0.95,1,easy,no
Test-2021C-Q13,algebra,radical_expression,0.80,1,easy,no
Test-2021C-Q14,algebra,matrix_inverse,0.98,1,easy,no
Test-2021C-Q15,algebra,system_of_equations,0.95,1,easy,no
Test-2021C-Q16,functions,function_domain_range,0.85,1,easy,no
Test-2021C-Q17,algebra,polynomial_remainder,0.98,1,easy,no
Test-2021C-Q18,set_theory,set_theory,0.98,1,easy,no
Test-2021C-Q19,combinatorics,counting_principle,0.95,1,easy,no
Test-2021C-Q2,arithmetic,number_representation,0.98,1,easy,no
Test-2021C-Q20,geometry,solid_geometry,0.90,1,easy,no
Test-2021C-Q21,algebra,polynomial_factoring,0.70,1,easy,no
Test-2021C-Q22,algebra,linear_equation,0.60,1,easy,yes
Test-2021C-Q23,calculus,indefinite_integral,0.85,1,easy,no
Test-2021C-Q24,calculus,derivative_application,0.95,1,easy,no
Test-2021C-Q25,vectors,vector_geometry,0.95,1,easy,no
Test-2021C-Q26,statistics,central_tendency,0.90,1,easy,no
Test-2021C-Q27,algebra,rational_expression,0.98,1,easy,no
Test-2021C-Q28,arithmetic,word_problem_arithmetic,0.90,1,easy,no
Test-2021C-Q29,geometry,geometric_transformation,0.95,1,easy,no
Test-2021C-Q3,arithmetic,number_representation,0.95,1,easy,no
Test-2021C-Q30,algebra,progression,0.98,1,easy,no
Test-2021C-Q31,vectors,vector_geometry,0.95,1,easy,no
Test-2021C-Q32,calculus,definite_integral,0.98,1,easy,no
Test-2021C-Q33,geometry,triangle_geometry,0.75,1,easy,no
Test-2021C-Q34,geometry,solid_geometry,0.90,1,easy,no
Test-2021C-Q35,geometry,geometric_transformation,0.60,1,easy,yes
Test-2021C-Q36,algebra,quadratic_inequality,0.90,1,easy,no
Test-2021C-Q4,probability,compound_event,0.80,1,easy,no
Test-2021C-Q5,algebra,exponent_rules,0.65,1,easy,yes
Test-2021C-Q6,functions,function_domain_range,0.65,1,easy,yes
Test-2021C-Q7,geometry,coordinate_geometry,0.95,1,easy,no
Test-2021C-Q8,algebra,matrix_operation,0.95,1,easy,no
Test-2021C-Q9,trigonometry,trig_identity,0.90,1,easy,no
Test-2021D-Q1,Арифметик,number_representation,0.98,1,easy,no
Test-2021D-Q10,Анализ,derivative_rules,0.95,1,easy,no
Test-2021D-Q11,Арифметик,number_representation,0.95,1,easy,no
Test-2021D-Q12,Статистик,dispersion,0.95,1,easy,no
Test-2021D-Q13,Алгебр,radical_expression,0.80,1,easy,no
Test-2021D-Q14,Алгебр,matrix_inverse,0.98,1,easy,no
Test-2021D-Q15,Алгебр,system_of_equations,0.95,1,easy,no
Test-2021D-Q16,Функц,function_domain_range,0.85,1,easy,no
Test-2021D-Q17,Алгебр,polynomial_remainder,0.98,1,easy,no
Test-2021D-Q18,set_theory,set_theory,0.98,1,easy,no
Test-2021D-Q19,Комбинаторик,counting_principle,0.95,1,easy,no
Test-2021D-Q2,Арифметик,number_representation,0.98,1,easy,no
Test-2021D-Q20,Геометр,solid_geometry,0.90,1,easy,no
Test-2021D-Q21,Алгебр,polynomial_factoring,0.70,1,easy,no
Test-2021D-Q22,Алгебр,linear_equation,0.60,1,easy,yes
Test-2021D-Q23,Анализ,indefinite_integral,0.85,1,easy,no
Test-2021D-Q24,Анализ,derivative_application,0.95,1,easy,no
Test-2021D-Q25,Вектор,vector_geometry,0.95,1,easy,no
Test-2021D-Q26,Статистик,central_tendency,0.90,1,easy,no
Test-2021D-Q27,Алгебр,rational_expression,0.98,1,easy,no
Test-2021D-Q28,Алгебр,word_problem_arithmetic,0.90,1,easy,no
Test-2021D-Q29,Геометр,geometric_transformation,0.95,1,easy,no
Test-2021D-Q3,Арифметик,number_representation,0.95,1,easy,no
Test-2021D-Q30,Дараалал,progression,0.98,1,easy,no
Test-2021D-Q31,Вектор,vector_geometry,0.95,1,easy,no
Test-2021D-Q32,Анализ,definite_integral,0.98,1,easy,no
Test-2021D-Q33,Геометр,triangle_geometry,0.75,1,easy,no
Test-2021D-Q34,Геометр,solid_geometry,0.90,1,easy,no
Test-2021D-Q35,Геометр,geometric_transformation,0.60,1,easy,yes
Test-2021D-Q36,Алгебр,quadratic_inequality,0.90,1,easy,no
Test-2021D-Q4,Магадлал,compound_event,0.80,1,easy,no
Test-2021D-Q5,Алгебр,exponent_rules,0.65,1,easy,yes
Test-2021D-Q6,Функц,function_domain_range,0.65,1,easy,yes
Test-2021D-Q7,Геометр,coordinate_geometry,0.95,1,easy,no
Test-2021D-Q8,Алгебр,matrix_operation,0.95,1,easy,no
Test-2021D-Q9,Тригонометр,trig_identity,0.90,1,easy,no
Test-2022A-Q1,Exponents,exponent_rules,0.90,1,easy,no
Test-2022A-Q10,Algebra,rational_expression,0.60,1,easy,yes
Test-2022A-Q11,Algebra,radical_expression,0.65,1,easy,yes
Test-2022A-Q12,Coordinate Geometry,coordinate_geometry,0.90,1,easy,no
Test-2022A-Q13,Probability,compound_event,0.80,1,easy,no
Test-2022A-Q14,Geometry,solid_geometry,0.95,1,easy,no
Test-2022A-Q15,Calculus,derivative_application,0.90,1,easy,no
Test-2022A-Q16,Trigonometry,trig_triangle,0.98,1,easy,no
Test-2022A-Q17,Complex Numbers,complex_numbers,0.98,1,easy,no
Test-2022A-Q18,Probability,discrete_distribution,0.90,1,easy,no
Test-2022A-Q19,Vectors,vector_geometry,0.95,1,easy,no
Test-2022A-Q2,Statistics,central_tendency,0.95,1,easy,no
Test-2022A-Q20,Calculus,indefinite_integral,0.90,1,easy,no
Test-2022A-Q21,Algebra,radical_expression,0.70,1,easy,no
Test-2022A-Q22,Sequences and Series,progression,0.98,1,easy,no
Test-2022A-Q23,Equations,system_of_equations,0.90,1,easy,no
Test-2022A-Q24,Polynomials,polynomial_factoring,0.85,1,easy,no
Test-2022A-Q25,Functions,function_inverse_composite,0.95,1,easy,no
Test-2022A-Q26,Trigonometry,trig_identity,0.90,1,easy,no
Test-2022A-Q27,Geometry,polygon_geometry,0.75,1,easy,no
Test-2022A-Q28,Calculus,definite_integral,0.98,1,easy,no
Test-2022A-Q29,Coordinate Geometry,geometric_transformation,0.90,1,easy,no
Test-2022A-Q3,Functions,function_domain_range,0.75,1,easy,no
Test-2022A-Q30,Statistics,dispersion,0.90,1,easy,no
Test-2022A-Q31,Calculus,definite_integral,0.95,1,easy,no
Test-2022A-Q32,Algebra,quadratic_inequality,0.90,1,easy,no
Test-2022A-Q33,Coordinate Geometry,coordinate_geometry,0.70,1,easy,no
Test-2022A-Q34,Probability,discrete_distribution,0.65,1,easy,yes
Test-2022A-Q35,Vectors,vector_geometry,0.95,1,easy,no
Test-2022A-Q36,Polynomials,polynomial_remainder,0.95,1,easy,no
Test-2022A-Q4,Sets,set_theory,0.98,1,easy,no
Test-2022A-Q5,Matrices,matrix_operation,0.95,1,easy,no
Test-2022A-Q6,Vectors,vector_geometry,0.95,1,easy,no
Test-2022A-Q7,Vectors,geometric_transformation,0.80,1,easy,no
Test-2022A-Q8,Calculus,derivative_rules,0.95,1,easy,no
Test-2022A-Q9,Arithmetic,fraction_arithmetic,0.98,1,easy,no
Test-2022B-Q1,algebra,exponent_rules,0.90,1,easy,no
Test-2022B-Q10,algebra,rational_expression,0.60,1,easy,yes
Test-2022B-Q11,algebra,radical_expression,0.65,1,easy,yes
Test-2022B-Q12,geometry,coordinate_geometry,0.90,1,easy,no
Test-2022B-Q13,probability,compound_event,0.80,1,easy,no
Test-2022B-Q14,geometry,solid_geometry,0.95,1,easy,no
Test-2022B-Q15,calculus,derivative_application,0.90,1,easy,no
Test-2022B-Q16,trigonometry,trig_triangle,0.98,1,easy,no
Test-2022B-Q17,complex_numbers,complex_numbers,0.98,1,easy,no
Test-2022B-Q18,statistics,discrete_distribution,0.90,1,easy,no
Test-2022B-Q19,vectors,vector_geometry,0.95,1,easy,no
Test-2022B-Q2,statistics,central_tendency,0.95,1,easy,no
Test-2022B-Q20,calculus,indefinite_integral,0.90,1,easy,no
Test-2022B-Q21,algebra,radical_expression,0.70,1,easy,no
Test-2022B-Q22,sequences,progression,0.98,1,easy,no
Test-2022B-Q23,algebra,system_of_equations,0.90,1,easy,no
Test-2022B-Q24,algebra,polynomial_factoring,0.85,1,easy,no
Test-2022B-Q25,functions,function_inverse_composite,0.95,1,easy,no
Test-2022B-Q26,trigonometry,trig_identity,0.90,1,easy,no
Test-2022B-Q27,geometry,polygon_geometry,0.75,1,easy,no
Test-2022B-Q28,calculus,definite_integral,0.98,1,easy,no
Test-2022B-Q29,geometry,geometric_transformation,0.90,1,easy,no
Test-2022B-Q3,functions,function_domain_range,0.75,1,easy,no
Test-2022B-Q30,statistics,dispersion,0.90,1,easy,no
Test-2022B-Q31,calculus,definite_integral,0.95,1,easy,no
Test-2022B-Q32,algebra,quadratic_inequality,0.90,1,easy,no
Test-2022B-Q33,geometry,coordinate_geometry,0.70,1,easy,no
Test-2022B-Q34,probability,discrete_distribution,0.65,1,easy,yes
Test-2022B-Q35,vectors,vector_geometry,0.95,1,easy,no
Test-2022B-Q36,algebra,polynomial_remainder,0.95,1,easy,no
Test-2022B-Q4,sets,set_theory,0.98,1,easy,no
Test-2022B-Q5,linear_algebra,matrix_operation,0.95,1,easy,no
Test-2022B-Q6,vectors,vector_geometry,0.95,1,easy,no
Test-2022B-Q7,geometry,geometric_transformation,0.80,1,easy,no
Test-2022B-Q8,calculus,derivative_rules,0.95,1,easy,no
Test-2022B-Q9,arithmetic,fraction_arithmetic,0.98,1,easy,no
Test-2022C-Q1,algebra,exponent_rules,0.90,1,easy,no
Test-2022C-Q10,algebra,rational_expression,0.60,1,easy,yes
Test-2022C-Q11,algebra,radical_expression,0.65,1,easy,yes
Test-2022C-Q12,geometry,coordinate_geometry,0.90,1,easy,no
Test-2022C-Q13,probability,compound_event,0.80,1,easy,no
Test-2022C-Q14,geometry,solid_geometry,0.95,1,easy,no
Test-2022C-Q15,calculus,derivative_application,0.90,1,easy,no
Test-2022C-Q16,trigonometry,trig_triangle,0.98,1,easy,no
Test-2022C-Q17,complex_numbers,complex_numbers,0.98,1,easy,no
Test-2022C-Q18,statistics,discrete_distribution,0.90,1,easy,no
Test-2022C-Q19,vectors,vector_geometry,0.95,1,easy,no
Test-2022C-Q2,statistics,central_tendency,0.95,1,easy,no
Test-2022C-Q20,calculus,indefinite_integral,0.90,1,easy,no
Test-2022C-Q21,algebra,radical_expression,0.70,1,easy,no
Test-2022C-Q22,sequences,progression,0.98,1,easy,no
Test-2022C-Q23,algebra,system_of_equations,0.90,1,easy,no
Test-2022C-Q24,algebra,polynomial_factoring,0.85,1,easy,no
Test-2022C-Q25,functions,function_inverse_composite,0.95,1,easy,no
Test-2022C-Q26,trigonometry,trig_identity,0.90,1,easy,no
Test-2022C-Q27,geometry,polygon_geometry,0.75,1,easy,no
Test-2022C-Q28,calculus,definite_integral,0.98,1,easy,no
Test-2022C-Q29,geometry,geometric_transformation,0.90,1,easy,no
Test-2022C-Q3,functions,function_domain_range,0.75,1,easy,no
Test-2022C-Q30,statistics,dispersion,0.90,1,easy,no
Test-2022C-Q31,calculus,definite_integral,0.95,1,easy,no
Test-2022C-Q32,algebra,quadratic_inequality,0.90,1,easy,no
Test-2022C-Q33,geometry,coordinate_geometry,0.70,1,easy,no
Test-2022C-Q34,probability,discrete_distribution,0.65,1,easy,yes
Test-2022C-Q35,vectors,vector_geometry,0.95,1,easy,no
Test-2022C-Q36,algebra,polynomial_remainder,0.95,1,easy,no
Test-2022C-Q4,sets,set_theory,0.98,1,easy,no
Test-2022C-Q5,linear_algebra,matrix_operation,0.95,1,easy,no
Test-2022C-Q6,vectors,vector_geometry,0.95,1,easy,no
Test-2022C-Q7,geometry,geometric_transformation,0.80,1,easy,no
Test-2022C-Q8,calculus,derivative_rules,0.95,1,easy,no
Test-2022C-Q9,arithmetic,fraction_arithmetic,0.98,1,easy,no
Test-2022D-Q1,algebra,exponent_rules,0.90,1,easy,no
Test-2022D-Q10,algebra,rational_expression,0.60,1,easy,yes
Test-2022D-Q11,algebra,radical_expression,0.65,1,easy,yes
Test-2022D-Q12,geometry,coordinate_geometry,0.90,1,easy,no
Test-2022D-Q13,probability,compound_event,0.80,1,easy,no
Test-2022D-Q14,geometry,solid_geometry,0.95,1,easy,no
Test-2022D-Q15,calculus,derivative_application,0.90,1,easy,no
Test-2022D-Q16,trigonometry,trig_triangle,0.98,1,easy,no
Test-2022D-Q17,complex_numbers,complex_numbers,0.98,1,easy,no
Test-2022D-Q18,statistics,discrete_distribution,0.90,1,easy,no
Test-2022D-Q19,vectors,vector_geometry,0.95,1,easy,no
Test-2022D-Q2,statistics,central_tendency,0.95,1,easy,no
Test-2022D-Q20,calculus,indefinite_integral,0.90,1,easy,no
Test-2022D-Q21,algebra,radical_expression,0.70,1,easy,no
Test-2022D-Q22,sequences,progression,0.98,1,easy,no
Test-2022D-Q23,algebra,system_of_equations,0.90,1,easy,no
Test-2022D-Q24,algebra,polynomial_factoring,0.85,1,easy,no
Test-2022D-Q25,functions,function_inverse_composite,0.95,1,easy,no
Test-2022D-Q26,trigonometry,trig_identity,0.90,1,easy,no
Test-2022D-Q27,geometry,polygon_geometry,0.75,1,easy,no
Test-2022D-Q28,calculus,definite_integral,0.98,1,easy,no
Test-2022D-Q29,geometry,geometric_transformation,0.90,1,easy,no
Test-2022D-Q3,functions,function_domain_range,0.75,1,easy,no
Test-2022D-Q30,statistics,dispersion,0.90,1,easy,no
Test-2022D-Q31,calculus,definite_integral,0.95,1,easy,no
Test-2022D-Q32,algebra,quadratic_inequality,0.90,1,easy,no
Test-2022D-Q33,geometry,coordinate_geometry,0.70,1,easy,no
Test-2022D-Q34,probability,discrete_distribution,0.65,1,easy,yes
Test-2022D-Q35,vectors,vector_geometry,0.95,1,easy,no
Test-2022D-Q36,algebra,polynomial_remainder,0.95,1,easy,no
Test-2022D-Q4,sets,set_theory,0.98,1,easy,no
Test-2022D-Q5,linear_algebra,matrix_operation,0.95,1,easy,no
Test-2022D-Q6,vectors,vector_geometry,0.95,1,easy,no
Test-2022D-Q7,geometry,geometric_transformation,0.80,1,easy,no
Test-2022D-Q8,calculus,derivative_rules,0.95,1,easy,no
Test-2022D-Q9,arithmetic,fraction_arithmetic,0.98,1,easy,no
Test-2023A-Q1,Арифметик,radical_expression,0.90,1,easy,no
Test-2023A-Q10,Алгебр,logarithm,0.90,1,easy,no
Test-2023A-Q11,Арифметик,progression,0.90,1,easy,no
Test-2023A-Q12,Тригонометр,trig_value,0.95,1,easy,no
Test-2023A-Q13,Аналитик геометр,geometric_transformation,0.70,1,easy,no
Test-2023A-Q14,Алгебр,rational_expression,0.90,1,easy,no
Test-2023A-Q15,Анализ,derivative_rules,0.95,1,easy,no
Test-2023A-Q16,Магадлал,compound_event,0.90,1,easy,no
Test-2023A-Q17,Вектор,vector_geometry,0.95,1,easy,no
Test-2023A-Q18,Комплекс тоо,complex_numbers,0.90,1,easy,no
Test-2023A-Q19,Алгебр,exponent_rules,0.60,1,easy,yes
Test-2023A-Q2,Аналитик геометр,coordinate_geometry,0.90,1,easy,no
Test-2023A-Q20,Матриц,matrix_inverse,0.90,1,easy,no
Test-2023A-Q21,Геометр,trig_triangle,0.98,1,easy,no
Test-2023A-Q22,Аналитик геометр,coordinate_geometry,0.95,1,easy,no
Test-2023A-Q23,Матриц,geometric_transformation,0.90,1,easy,no
Test-2023A-Q24,Геометр,solid_geometry,0.90,1,easy,no
Test-2023A-Q25,Анализ,indefinite_integral,0.95,1,easy,no
Test-2023A-Q26,Статистик,dispersion,0.95,1,easy,no
Test-2023A-Q27,Комбинаторик,permutation_arrangement,0.95,1,easy,no
Test-2023A-Q28,Анализ,definite_integral,0.98,1,easy,no
Test-2023A-Q29,Тригонометр,trig_identity,0.90,1,easy,no
Test-2023A-Q3,Вектор,vector_geometry,0.90,1,easy,no
Test-2023A-Q30,Алгебр,quadratic_inequality,0.85,1,easy,no
Test-2023A-Q31,Статистик,central_tendency,0.65,1,easy,yes
Test-2023A-Q32,Анализ,derivative_application,0.95,1,easy,no
Test-2023A-Q33,Геометр,triangle_geometry,0.95,1,easy,no
Test-2023A-Q34,Алгебр,polynomial_remainder,0.95,1,easy,no
Test-2023A-Q35,Анализ,derivative_application,0.95,1,easy,no
Test-2023A-Q36,Матриц,matrix_operation,0.75,1,easy,no
Test-2023A-Q4,Олонлог,set_theory,0.95,1,easy,no
Test-2023A-Q5,Комплекс тоо,complex_numbers,0.98,1,easy,no
Test-2023A-Q6,Магадлал,discrete_distribution,0.95,1,easy,no
Test-2023A-Q7,Алгебр,function_graph,0.60,1,easy,yes
Test-2023A-Q8,Геометр,circle_geometry,0.95,1,easy,no
Test-2023A-Q9,Статистик,data_display,0.70,1,easy,no
Test-2023B-Q1,Arithmetic,radical_expression,0.90,1,easy,no
Test-2023B-Q10,Logarithms,logarithm,0.90,1,easy,no
Test-2023B-Q11,Sequences and Series,progression,0.90,1,easy,no
Test-2023B-Q12,Trigonometry,trig_value,0.95,1,easy,no
Test-2023B-Q13,Coordinate Geometry,geometric_transformation,0.70,1,easy,no
Test-2023B-Q14,Algebra,rational_expression,0.90,1,easy,no
Test-2023B-Q15,Calculus,derivative_rules,0.95,1,easy,no
Test-2023B-Q16,Probability,compound_event,0.90,1,easy,no
Test-2023B-Q17,Vectors,vector_geometry,0.95,1,easy,no
Test-2023B-Q18,Complex Numbers,complex_numbers,0.90,1,easy,no
Test-2023B-Q19,Exponents and Logarithms,exponent_rules,0.60,1,easy,yes
Test-2023B-Q2,Coordinate Geometry,coordinate_geometry,0.90,1,easy,no
Test-2023B-Q20,Matrices,matrix_inverse,0.90,1,easy,no
Test-2023B-Q21,Trigonometry,trig_triangle,0.98,1,easy,no
Test-2023B-Q22,Coordinate Geometry,coordinate_geometry,0.95,1,easy,no
Test-2023B-Q23,Matrices,geometric_transformation,0.90,1,easy,no
Test-2023B-Q24,Solid Geometry,solid_geometry,0.90,1,easy,no
Test-2023B-Q25,Calculus,indefinite_integral,0.95,1,easy,no
Test-2023B-Q26,Statistics,dispersion,0.95,1,easy,no
